Date,Open,High,Low,Close,Adj Close,Volume
2016-02-09,1848.459961,1881.599976,1810.099976,1864.780029,1864.780029,19852110000
2016-02-16,1871.439941,1946.699951,1871.439941,1945.500000,1945.500000,22216260000
2016-02-23,1942.380005,1962.959961,1891.000000,1932.229980,1932.229980,21262800000
2016-03-01,1937.089966,2009.130005,1937.089966,2001.760010,2001.760010,25586170000
2016-03-08,1996.880005,2024.569946,1969.250000,2019.640015,2019.640015,20623030000
2016-03-15,2015.270020,2053.909912,2005.229980,2051.600098,2051.600098,22027520000
2016-03-22,2048.639893,2056.600098,2022.489990,2037.050049,2037.050049,13274780000
2016-03-29,2035.750000,2075.070068,2028.310059,2066.129883,2066.129883,18363620000
2016-04-05,2062.500000,2067.330078,2033.800049,2041.989990,2041.989990,18634340000
2016-04-12,2043.719971,2094.659912,2039.739990,2094.340088,2094.340088,19215770000
2016-04-19,2096.050049,2111.050049,2077.520020,2087.790039,2087.790039,19367320000
2016-04-26,2089.840088,2099.889893,2052.280029,2081.429932,2081.429932,20512970000
2016-05-03,2077.179932,2077.179932,2039.449951,2058.689941,2058.689941,19825450000
2016-05-10,2062.629883,2084.870117,2043.130005,2066.659912,2066.659912,18285810000
2016-05-17,2065.040039,2065.689941,2025.910034,2048.040039,2048.040039,18620180000
2016-05-24,2052.649902,2099.060059,2052.649902,2099.060059,2099.060059,13796640000
2016-05-31,2100.129883,2113.360107,2085.100098,2109.409912,2109.409912,18742100000
2016-06-07,2110.179932,2120.550049,2078.459961,2079.060059,2079.060059,17294150000
2016-06-14,2076.649902,2100.659912,2050.370117,2083.250000,2083.250000,19352840000
2016-06-21,2085.189941,2113.320068,1991.680054,2000.540039,2000.540039,22727650000
2016-06-28,2006.670044,2108.709961,2006.670044,2102.949951,2102.949951,16709260000
2016-07-05,2095.050049,2143.159912,2074.020020,2137.159912,2137.159912,18033150000
2016-07-12,2139.500000,2169.050049,2139.500000,2166.889893,2166.889893,17197660000
2016-07-19,2163.790039,2175.629883,2159.010010,2168.479980,2168.479980,15699620000
2016-07-26,2168.969971,2178.290039,2159.070068,2170.840088,2170.840088,18646920000
2016-08-02,2169.939941,2185.439941,2147.580078,2180.889893,2180.889893,18335100000
2016-08-09,2182.239990,2193.810059,2172.000000,2190.149902,2190.149902,16091600000
2016-08-16,2186.239990,2187.030029,2168.500000,2182.639893,2182.639893,15748230000
2016-08-23,2187.810059,2193.419922,2160.389893,2180.379883,2180.379883,15156200000
2016-08-30,2179.449951,2184.870117,2157.090088,2179.979980,2179.979980,13256430000
2016-09-06,2181.610107,2187.870117,2119.120117,2159.040039,2159.040039,18739350000
2016-09-13,2150.469971,2153.610107,2119.899902,2139.120117,2139.120117,19356850000
2016-09-20,2145.939941,2179.989990,2139.169922,2146.100098,2146.100098,16939010000
2016-09-27,2146.040039,2175.300049,2141.550049,2161.199951,2161.199951,18889340000
2016-10-04,2163.370117,2169.600098,2144.010010,2163.659912,2163.659912,17655430000
2016-10-11,2161.350098,2161.560059,2114.719971,2126.500000,2126.500000,16054360000
2016-10-18,2138.310059,2154.790039,2130.090088,2151.330078,2151.330078,16676010000
2016-10-25,2149.719971,2151.439941,2119.360107,2126.149902,2126.149902,19673280000
2016-11-01,2128.679932,2132.000000,2083.790039,2131.520020,2131.520020,20241400000
2016-11-08,2129.919922,2182.300049,2123.560059,2164.199951,2164.199951,26987970000
2016-11-15,2168.290039,2198.699951,2166.379883,2198.179932,2198.179932,19363020000
2016-11-22,2201.560059,2213.350098,2194.510010,2201.719971,2201.719971,12466830000
2016-11-29,2200.760010,2214.100098,2187.439941,2204.709961,2204.709961,21979010000
2016-12-06,2207.260010,2264.030029,2202.209961,2256.959961,2256.959961,20476710000
2016-12-13,2263.320068,2277.530029,2248.439941,2262.530029,2262.530029,21601470000
2016-12-20,2266.500000,2272.560059,2256.080078,2263.790039,2263.790039,11047880000
2016-12-27,2266.229980,2273.820068,2233.620117,2238.830078,2238.830078,9386710000
2017-01-03,2251.570068,2282.100098,2245.129883,2268.899902,2268.899902,17854740000
2017-01-10,2269.719971,2279.270020,2254.250000,2274.639893,2274.639893,13802600000
2017-01-17,2269.139893,2276.959961,2257.020020,2265.199951,2265.199951,16743890000
2017-01-24,2267.879883,2300.989990,2266.679932,2280.899902,2280.899902,17994500000
2017-01-31,2274.020020,2298.310059,2267.209961,2292.560059,2292.560059,18518790000
2017-02-07,2295.870117,2331.580078,2285.379883,2328.250000,2328.250000,17561120000
2017-02-14,2326.120117,2351.310059,2322.169922,2351.159912,2351.159912,14481930000
2017-02-21,2354.909912,2371.540039,2352.870117,2369.750000,2369.750000,18477890000
2017-02-28,2366.080078,2400.979980,2358.959961,2375.310059,2375.310059,19164600000
2017-03-07,2370.739990,2376.860107,2354.540039,2373.469971,2373.469971,17613680000
2017-03-14,2368.550049,2390.010010,2358.179932,2373.469971,2373.469971,18678100000
2017-03-21,2379.320068,2381.929932,2322.250000,2341.590088,2341.590088,17314280000
2017-03-28,2339.790039,2370.419922,2337.629883,2358.840088,2358.840088,16403650000
2017-04-04,2354.760010,2378.360107,2348.899902,2357.159912,2357.159912,16017240000
2017-04-11,2353.919922,2355.219971,2328.949951,2349.010010,2349.010010,12282970000
2017-04-18,2342.530029,2376.979980,2334.540039,2374.149902,2374.149902,17631170000
2017-04-25,2381.510010,2398.159912,2381.149902,2388.330078,2388.330078,19117130000
2017-05-02,2391.050049,2401.360107,2379.750000,2399.379883,2399.379883,19039790000
2017-05-09,2401.580078,2404.050049,2381.739990,2402.320068,2402.320068,17803770000
2017-05-16,2404.550049,2405.770020,2352.719971,2394.020020,2394.020020,18901200000
2017-05-23,2397.040039,2418.709961,2393.879883,2415.820068,2415.820068,12943900000
2017-05-30,2411.669922,2440.229980,2403.590088,2436.100098,2436.100098,17950690000
2017-06-06,2431.919922,2446.199951,2415.699951,2429.389893,2429.389893,18714090000
2017-06-13,2434.149902,2453.820068,2418.530029,2453.459961,2453.459961,18733560000
2017-06-20,2450.659912,2450.659912,2430.739990,2439.070068,2439.070068,18996840000
2017-06-27,2436.340088,2442.969971,2405.699951,2429.010010,2429.010010,16288870000
2017-07-04,2430.780029,2434.899902,2407.699951,2427.429932,2427.429932,12632200000
2017-07-11,2427.350098,2463.540039,2412.790039,2459.139893,2459.139893,14875850000
